"region";"ålder";"kön";"2023"
"Huddinge (Vårby Udde-Duvberget)";"totalt";"totalt";943
"Botkyrka (Albyberget)";"totalt";"män";2887
"Botkyrka (Albyberget)";"totalt";"kvinnor";2544
"Botkyrka (Albyberget)";"totalt";"totalt";5431
"Botkyrka (Albydalen)";"totalt";"män";4476
"Botkyrka (Albydalen)";"totalt";"kvinnor";4182
"Botkyrka (Albydalen)";"totalt";"totalt";8658
"Botkyrka (Brantbrink-Tullingeskog-Rörmossen)";"totalt";"män";2317
"Botkyrka (Brantbrink-Tullingeskog-Rörmossen)";"totalt";"kvinnor";2405
"Botkyrka (Brantbrink-Tullingeskog-Rörmossen)";"totalt";"totalt";4722
"Botkyrka (Eriksberg-Sturehov)";"totalt";"män";1964
"Botkyrka (Eriksberg-Sturehov)";"totalt";"kvinnor";1825
"Botkyrka (Eriksberg-Sturehov)";"totalt";"totalt";3789
"Botkyrka (Fittja)";"totalt";"män";4102
"Botkyrka (Fittja)";"totalt";"kvinnor";3589
"Botkyrka (Fittja)";"totalt";"totalt";7691
"Botkyrka (Grödinge)";"totalt";"män";1111
"Botkyrka (Grödinge)";"totalt";"kvinnor";972
"Botkyrka (Grödinge)";"totalt";"totalt";2083
"Botkyrka (Hallunda)";"totalt";"män";3190
"Botkyrka (Hallunda)";"totalt";"kvinnor";2952
"Botkyrka (Hallunda)";"totalt";"totalt";6142
"Botkyrka (Kassmyra-Skäcklinge)";"totalt";"män";2316
"Botkyrka (Kassmyra-Skäcklinge)";"totalt";"kvinnor";2184
"Botkyrka (Kassmyra-Skäcklinge)";"totalt";"totalt";4500
"Botkyrka (Lanthem-Tullinge centrum-Tullingeberg)";"totalt";"män";3105
"Botkyrka (Lanthem-Tullinge centrum-Tullingeberg)";"totalt";"kvinnor";3040
"Botkyrka (Lanthem-Tullinge centrum-Tullingeberg)";"totalt";"totalt";6145
"Botkyrka (Norsborg)";"totalt";"män";3225
"Botkyrka (Norsborg)";"totalt";"kvinnor";3128
"Botkyrka (Norsborg)";"totalt";"totalt";6353
"Botkyrka (Riksten)";"totalt";"män";1810
"Botkyrka (Riksten)";"totalt";"kvinnor";1811
"Botkyrka (Riksten)";"totalt";"totalt";3621
"Botkyrka (Slagsta)";"totalt";"män";2284
"Botkyrka (Slagsta)";"totalt";"kvinnor";2150
"Botkyrka (Slagsta)";"totalt";"totalt";4434
"Botkyrka (Storvreten)";"totalt";"män";3574
"Botkyrka (Storvreten)";"totalt";"kvinnor";3409
"Botkyrka (Storvreten)";"totalt";"totalt";6983
"Botkyrka (Tullinge parkhem)";"totalt";"män";1596
"Botkyrka (Tullinge parkhem)";"totalt";"kvinnor";1559
"Botkyrka (Tullinge parkhem)";"totalt";"totalt";3155
"Botkyrka (Tullinge villastad)";"totalt";"män";1674
"Botkyrka (Tullinge villastad)";"totalt";"kvinnor";1563
"Botkyrka (Tullinge villastad)";"totalt";"totalt";3237
"Botkyrka (Tumba centrum-Segersjö-Sandstugan)";"totalt";"män";2740
"Botkyrka (Tumba centrum-Segersjö-Sandstugan)";"totalt";"kvinnor";2642
"Botkyrka (Tumba centrum-Segersjö-Sandstugan)";"totalt";"totalt";5382
"Botkyrka (Tuna )";"totalt";"män";905
"Botkyrka (Tuna )";"totalt";"kvinnor";939
"Botkyrka (Tuna )";"totalt";"totalt";1844
"Botkyrka (Uttran-Broäng)";"totalt";"män";1812
"Botkyrka (Uttran-Broäng)";"totalt";"kvinnor";1562
"Botkyrka (Uttran-Broäng)";"totalt";"totalt";3374
"Botkyrka (Vretarna-Hamra)";"totalt";"män";2717
"Botkyrka (Vretarna-Hamra)";"totalt";"kvinnor";2684
"Botkyrka (Vretarna-Hamra)";"totalt";"totalt";5401
"Botkyrka (Vårsta)";"totalt";"män";1341
"Botkyrka (Vårsta)";"totalt";"kvinnor";1306
"Botkyrka (Vårsta)";"totalt";"totalt";2647
"Salem (Rönninge)";"totalt";"män";3499
"Salem (Rönninge)";"totalt";"kvinnor";3377
"Salem (Rönninge)";"totalt";"totalt";6876
"Salem (Salem västra)";"totalt";"män";966
"Salem (Salem västra)";"totalt";"kvinnor";1026
"Salem (Salem västra)";"totalt";"totalt";1992
"Salem (Salem östra)";"totalt";"män";2224
"Salem (Salem östra)";"totalt";"kvinnor";2225
"Salem (Salem östra)";"totalt";"totalt";4449
"Salem (Salems centrum)";"totalt";"män";2012
"Salem (Salems centrum)";"totalt";"kvinnor";2122
"Salem (Salems centrum)";"totalt";"totalt";4134
"Haninge (Brandbergen centrala)";"totalt";"män";2774
"Haninge (Brandbergen centrala)";"totalt";"kvinnor";2491
"Haninge (Brandbergen centrala)";"totalt";"totalt";5265
"Haninge (Brandbergen norra)";"totalt";"män";962
"Haninge (Brandbergen norra)";"totalt";"kvinnor";1066
"Haninge (Brandbergen norra)";"totalt";"totalt";2028
"Haninge (Brandbergen södra)";"totalt";"män";3080
"Haninge (Brandbergen södra)";"totalt";"kvinnor";2872
"Haninge (Brandbergen södra)";"totalt";"totalt";5952
"Haninge (Dalarö)";"totalt";"män";959
"Haninge (Dalarö)";"totalt";"kvinnor";942
"Haninge (Dalarö)";"totalt";"totalt";1901
"Haninge (Gudö)";"totalt";"män";1891
"Haninge (Gudö)";"totalt";"kvinnor";1761
"Haninge (Gudö)";"totalt";"totalt";3652
"Haninge (Handen centrala)";"totalt";"män";1405
"Haninge (Handen centrala)";"totalt";"kvinnor";1468
"Haninge (Handen centrala)";"totalt";"totalt";2873
"Haninge (Handen södra)";"totalt";"män";2719
"Haninge (Handen södra)";"totalt";"kvinnor";2837
"Haninge (Handen södra)";"totalt";"totalt";5556
"Haninge (Handen västra)";"totalt";"män";3216
"Haninge (Handen västra)";"totalt";"kvinnor";3181
"Haninge (Handen västra)";"totalt";"totalt";6397
"Haninge (Haninge skärgård-glesbygd)";"totalt";"män";1814
"Haninge (Haninge skärgård-glesbygd)";"totalt";"kvinnor";1627
"Haninge (Haninge skärgård-glesbygd)";"totalt";"totalt";3441
"Haninge (Jordbro centrala)";"totalt";"män";2369
"Haninge (Jordbro centrala)";"totalt";"kvinnor";2164
"Haninge (Jordbro centrala)";"totalt";"totalt";4533
"Haninge (Jordbro norra)";"totalt";"män";1382
"Haninge (Jordbro norra)";"totalt";"kvinnor";1283
"Haninge (Jordbro norra)";"totalt";"totalt";2665
"Haninge (Jordbro Södra)";"totalt";"män";2470
"Haninge (Jordbro Södra)";"totalt";"kvinnor";2294
"Haninge (Jordbro Södra)";"totalt";"totalt";4764
"Haninge (Muskö)";"totalt";"män";400
"Haninge (Muskö)";"totalt";"kvinnor";333
